,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Clusters
0,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,0
1,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,2
2,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,2
3,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,1
4,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,0
5,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,0
6,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,2
7,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,1
8,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,0
9,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,0
10,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,1
11,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,1
12,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,0
13,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,0
14,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,1
15,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,2
16,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,1
17,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,0
18,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,0
19,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,0
20,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,1
21,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,0
22,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,1
23,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,0
24,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,0
25,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,1
26,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,1
27,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,0
28,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,2
29,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,0
30,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,0
31,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,0
32,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,0
33,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,1
34,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,0
35,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,0
36,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,1
37,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,1
38,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,0
39,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,1
40,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,2
41,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,0
42,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,1
43,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,1
44,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,2
45,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,0
46,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,0
47,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,1
48,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,1
49,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,1
50,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,2
51,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,1
52,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,2
53,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,0
54,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,0
55,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,0
56,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,1
57,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,0
58,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,1
59,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,1
60,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,0
61,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,1
62,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,0
63,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,0
64,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,1
65,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,1
66,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,0
67,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,0
68,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,2
69,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,0
70,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,0
71,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,0
72,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,1
73,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,0
74,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,1
75,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,1
76,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,1
77,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,1
78,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,2
79,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,0
80,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,1
81,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,1
82,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,2
83,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,1
84,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,0
85,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,2
86,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,2
87,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,1
88,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,1
89,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,0
90,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,0
91,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,0
92,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,2
93,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,0
94,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,1
95,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,1
96,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,1
97,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,0
98,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,2
99,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,0
100,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,0
101,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,1
102,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,1
103,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,1
104,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,0
105,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,1
106,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,0
107,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,2
108,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,0
109,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,0
110,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,1
111,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,2
112,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,0
113,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,1
