,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
0,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4
1,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6
2,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6
3,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6
4,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6
5,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6
6,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7
7,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6
8,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6
9,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4
10,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3
11,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1
12,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3
13,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6
14,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6
15,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6
16,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3
17,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6
18,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3
19,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6
20,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6
21,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4
22,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6
23,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6
24,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6
25,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
26,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4
27,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2
28,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
29,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1
30,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4
31,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3
32,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6
33,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6
34,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6
35,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6
36,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6
37,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4
38,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6
39,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6
40,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2
41,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6
42,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3
43,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6
44,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4
45,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6
46,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6
47,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3
48,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6
49,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1
50,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6
51,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6
52,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6
53,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6
54,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6
55,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6
56,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6
57,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6
58,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6
59,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6
60,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6
61,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
62,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6
63,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6
64,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4
65,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6
66,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6
67,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5
68,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6
69,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3
70,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4
71,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6
72,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6
73,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6
74,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4
75,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3
76,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1
77,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3
78,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6
79,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3
80,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6
81,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6
82,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6
83,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6
84,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4
85,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6
86,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6
87,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4
88,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6
89,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6
90,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6
91,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1
92,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6
93,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6
94,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6
95,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6
96,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6
97,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1
98,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6
99,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2
100,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7
101,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6
102,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3
103,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4
104,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3
105,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3
106,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6
107,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6
108,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6
109,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6
110,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2
111,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6
112,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4
113,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4
114,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6
115,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6
116,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6
117,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5
118,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6
119,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7
120,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6
121,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4
122,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6
123,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4
124,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6
125,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6
126,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6
127,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4
128,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2
129,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6
130,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6
131,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6
132,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6
133,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6
134,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6
135,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6
136,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6
137,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6
138,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6
139,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6
140,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6
141,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6
142,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6
143,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6
144,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3
145,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4
146,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6
147,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6
148,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6
149,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6
150,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6
151,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6
152,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3
153,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6
154,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6
155,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6
156,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6
157,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6
158,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6
159,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7
160,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6
161,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6
162,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6
163,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6
164,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6
165,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6
166,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6
167,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6
168,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6
169,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6
170,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6
171,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6
172,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4
173,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6
174,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6
175,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6
176,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3
177,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6
178,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6
179,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4
180,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6
181,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7
182,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6
183,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3
184,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6
185,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6
186,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6
187,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7
188,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3
189,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6
190,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4
191,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4
192,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6
193,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3
194,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2
195,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7
196,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4
197,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6
198,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6
199,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6
200,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4
201,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6
202,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6
